,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0020900029,1610612762,Jazz,UTA,Utah,240:00,0.9,0.1,0.775,0.162,0.054,0.135,0.171,0.126,0.613,0.558,0.442,1.0,0.0,0.578,0.422
1,0020900030,1610612744,Warriors,GSW,Golden State,240:00,0.847,0.153,0.594,0.198,0.178,0.139,0.228,0.218,0.396,0.4,0.6,0.667,0.333,0.444,0.556
0,0020900030,1610612756,Suns,PHX,Phoenix,240:00,0.738,0.262,0.537,0.13,0.293,0.244,0.171,0.252,0.407,0.636,0.364,0.75,0.25,0.667,0.333
1,0020900031,1610612742,Mavericks,DAL,Dallas,240:00,0.805,0.195,0.574,0.213,0.16,0.021,0.266,0.234,0.362,0.519,0.481,1.0,0.0,0.594,0.406
0,0020900031,1610612747,Lakers,LAL,Los Angeles,240:00,0.716,0.284,0.625,0.15,0.263,0.05,0.113,0.188,0.475,0.52,0.48,0.857,0.143,0.594,0.406
1,0020900032,1610612751,Nets,NJN,New Jersey,240:00,0.888,0.113,0.615,0.115,0.144,0.144,0.24,0.125,0.5,0.469,0.531,0.8,0.2,0.514,0.486
0,0020900032,1610612764,Wizards,WAS,Washington,240:00,0.821,0.179,0.634,0.211,0.22,0.081,0.146,0.106,0.423,0.538,0.462,0.778,0.222,0.583,0.417
0,0020900033,1610612739,Cavaliers,CLE,Cleveland,240:00,0.742,0.258,0.6,0.244,0.3,0.133,0.1,0.256,0.356,0.519,0.481,0.889,0.111,0.611,0.389
1,0020900033,1610612766,Bobcats,CHA,Charlotte,240:00,0.809,0.191,0.582,0.278,0.228,0.025,0.19,0.291,0.304,0.565,0.435,1.0,0.0,0.655,0.345
1,0020900034,1610612752,Knicks,NYK,New York,265:00,0.59,0.41,0.52,0.173,0.331,0.063,0.15,0.118,0.346,0.515,0.485,0.714,0.286,0.574,0.426
