GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
21700880,1610612743,Nuggets,DEN,Denver,240:00,0.67,0.33,0.59,0.066,0.295,0.09,0.115,0.082,0.525,0.611,0.389,0.917,0.083,0.688,0.313
21700880,1610612759,Spurs,SAS,San Antonio,240:00,0.812,0.188,0.639,0.134,0.126,0.101,0.235,0.143,0.504,0.605,0.395,1.0,0.0,0.651,0.349
21700881,1610612746,Clippers,LAC,LA,240:00,0.632,0.368,0.484,0.109,0.328,0.086,0.188,0.086,0.375,0.387,0.613,0.786,0.214,0.511,0.489
21700881,1610612756,Suns,PHX,Phoenix,240:00,0.699,0.301,0.615,0.085,0.231,0.256,0.154,0.197,0.53,0.417,0.583,0.778,0.222,0.489,0.511
21700882,1610612757,Trail Blazers,POR,Portland,240:00,0.724,0.276,0.6,0.2,0.27,0.04,0.13,0.22,0.4,0.367,0.633,0.333,0.667,0.359,0.641
21700882,1610612762,Jazz,UTA,Utah,240:00,0.679,0.321,0.667,0.148,0.222,0.049,0.111,0.123,0.519,0.519,0.481,0.167,0.833,0.455,0.545
21700883,1610612747,Lakers,LAL,Los Angeles,240:00,0.645,0.355,0.565,0.065,0.315,0.194,0.121,0.121,0.5,0.6,0.4,0.846,0.154,0.667,0.333
21700883,1610612742,Mavericks,DAL,Dallas,240:00,0.538,0.462,0.353,0.098,0.559,0.137,0.088,0.255,0.255,0.556,0.444,0.789,0.211,0.676,0.324
21700884,1610612753,Magic,ORL,Orlando,240:00,0.635,0.365,0.476,0.076,0.371,0.076,0.152,0.152,0.4,0.64,0.36,0.846,0.154,0.711,0.289
21700884,1610612755,76ers,PHI,Philadelphia,240:00,0.667,0.333,0.569,0.172,0.233,0.078,0.198,0.155,0.397,0.667,0.333,1.0,0.0,0.738,0.262
21700885,1610612763,Grizzlies,MEM,Memphis,240:00,0.863,0.138,0.674,0.337,0.169,0.022,0.157,0.09,0.337,0.4,0.6,0.8,0.2,0.457,0.543
21700885,1610612748,Heat,MIA,Miami,240:00,0.629,0.371,0.504,0.07,0.313,0.113,0.183,0.226,0.435,0.552,0.448,0.917,0.083,0.659,0.341
21700886,1610612738,Celtics,BOS,Boston,240:00,0.645,0.355,0.479,0.099,0.322,0.066,0.198,0.165,0.38,0.448,0.552,0.615,0.385,0.5,0.5
21700886,1610612752,Knicks,NYK,New York,240:00,0.719,0.281,0.696,0.214,0.161,0.054,0.143,0.125,0.482,0.41,0.59,0.667,0.333,0.444,0.556
21700887,1610612744,Warriors,GSW,Golden State,240:00,0.573,0.427,0.446,0.125,0.455,0.134,0.098,0.223,0.321,0.84,0.16,0.882,0.118,0.857,0.143
21700887,1610612760,Thunder,OKC,Oklahoma City,240:00,0.614,0.386,0.5,0.15,0.338,0.125,0.163,0.225,0.35,0.65,0.35,0.667,0.333,0.655,0.345
21700888,1610612741,Bulls,CHI,Chicago,240:00,0.744,0.256,0.692,0.154,0.173,0.173,0.135,0.154,0.538,0.444,0.556,0.833,0.167,0.5,0.5
21700888,1610612750,Timberwolves,MIN,Minnesota,240:00,0.628,0.372,0.574,0.098,0.27,0.049,0.156,0.139,0.475,0.543,0.457,0.545,0.455,0.543,0.457
21700889,1610612757,Trail Blazers,POR,Portland,240:00,0.697,0.303,0.623,0.226,0.17,0.113,0.208,0.208,0.396,0.364,0.636,0.5,0.5,0.385,0.615
21700889,1610612756,Suns,PHX,Phoenix,240:00,0.701,0.299,0.538,0.173,0.317,0.173,0.144,0.087,0.365,0.5,0.5,0.818,0.182,0.59,0.41
21700890,1610612762,Jazz,UTA,Utah,240:00,0.624,0.376,0.515,0.041,0.278,0.155,0.206,0.134,0.474,0.76,0.24,0.778,0.222,0.765,0.235
21700890,1610612742,Mavericks,DAL,Dallas,240:00,0.578,0.422,0.533,0.2,0.333,0.033,0.133,0.178,0.333,0.417,0.583,0.9,0.1,0.559,0.441
21700891,1610612758,Kings,SAC,Sacramento,240:00,0.734,0.266,0.537,0.167,0.361,0.139,0.102,0.065,0.37,0.552,0.448,0.923,0.077,0.667,0.333
21700891,1610612747,Lakers,LAL,Los Angeles,240:00,0.582,0.418,0.425,0.071,0.451,0.186,0.124,0.142,0.354,0.5,0.5,0.824,0.176,0.634,0.366
