,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0022000659,1610612749,Bucks,MIL,Milwaukee,240:00,0.585,0.415,0.414,0.057,0.514,0.086,0.071,0.057,0.357,0.552,0.448,0.792,0.208,0.66,0.34
1,0022000660,1610612737,Hawks,ATL,Atlanta,240:00,0.642,0.358,0.564,0.055,0.327,0.118,0.109,0.109,0.509,0.484,0.516,0.5,0.5,0.488,0.512
0,0022000660,1610612746,Clippers,LAC,LA,240:00,0.553,0.447,0.42,0.034,0.429,0.126,0.151,0.084,0.387,0.56,0.44,0.706,0.294,0.619,0.381
0,0022000661,1610612753,Magic,ORL,Orlando,240:00,0.614,0.386,0.566,0.141,0.333,0.051,0.101,0.091,0.424,0.571,0.429,1.0,0.0,0.692,0.308
1,0022000661,1610612743,Nuggets,DEN,Denver,240:00,0.67,0.33,0.673,0.127,0.218,0.191,0.109,0.109,0.545,0.514,0.486,0.75,0.25,0.556,0.444
1,0022000662,1610612752,Knicks,NYK,New York,240:00,0.674,0.326,0.473,0.092,0.366,0.084,0.16,0.183,0.382,0.355,0.645,0.75,0.25,0.489,0.511
0,0022000662,1610612764,Wizards,WAS,Washington,240:00,0.709,0.291,0.513,0.106,0.239,0.071,0.248,0.115,0.407,0.552,0.448,1.0,0.0,0.658,0.342
1,0022000663,1610612747,Lakers,LAL,Los Angeles,240:00,0.565,0.435,0.324,0.036,0.486,0.09,0.189,0.135,0.288,0.389,0.611,1.0,0.0,0.694,0.306
0,0022000663,1610612740,Pelicans,NOP,New Orleans,240:00,0.678,0.322,0.578,0.094,0.234,0.141,0.188,0.109,0.484,0.541,0.459,0.8,0.2,0.596,0.404
0,0022000664,1610612756,Suns,PHX,Phoenix,240:00,0.593,0.407,0.6,0.218,0.327,0.136,0.073,0.155,0.382,0.515,0.485,1.0,0.0,0.644,0.356
1,0022000664,1610612748,Heat,MIA,Miami,240:00,0.581,0.419,0.46,0.08,0.39,0.07,0.15,0.14,0.38,0.522,0.478,0.846,0.154,0.639,0.361
1,0022000665,1610612744,Warriors,GSW,Golden State,240:00,0.699,0.301,0.571,0.082,0.245,0.082,0.184,0.173,0.49,0.607,0.393,0.625,0.375,0.611,0.389
0,0022000665,1610612755,76ers,PHI,Philadelphia,240:00,0.721,0.279,0.593,0.056,0.194,0.093,0.213,0.176,0.537,0.281,0.719,0.857,0.143,0.385,0.615
0,0022000666,1610612757,Trail Blazers,POR,Portland,240:00,0.389,0.611,0.304,0.054,0.509,0.116,0.188,0.143,0.25,0.471,0.529,0.895,0.105,0.694,0.306
1,0022000666,1610612751,Nets,BKN,Brooklyn,240:00,0.655,0.345,0.586,0.034,0.233,0.207,0.181,0.06,0.552,0.5,0.5,0.889,0.111,0.581,0.419
0,0022000667,1610612754,Pacers,IND,Indiana,240:00,0.649,0.351,0.517,0.052,0.388,0.147,0.095,0.181,0.466,0.433,0.567,0.8,0.2,0.556,0.444
1,0022000667,1610612765,Pistons,DET,Detroit,240:00,0.663,0.337,0.595,0.09,0.297,0.225,0.108,0.063,0.505,0.576,0.424,0.909,0.091,0.659,0.341
1,0022000668,1610612743,Nuggets,DEN,Denver,240:00,0.561,0.439,0.486,0.054,0.378,0.018,0.135,0.135,0.432,0.481,0.519,0.857,0.143,0.61,0.39
0,0022000668,1610612761,Raptors,TOR,Toronto,240:00,0.461,0.539,0.311,0.03,0.533,0.119,0.156,0.148,0.281,0.381,0.619,0.958,0.042,0.689,0.311
1,0022000669,1610612738,Celtics,BOS,Boston,240:00,0.5,0.5,0.437,0.034,0.479,0.218,0.084,0.185,0.403,0.462,0.538,0.632,0.368,0.533,0.467
0,0022000669,1610612749,Bucks,MIL,Milwaukee,240:00,0.589,0.411,0.463,0.132,0.421,0.099,0.116,0.14,0.331,0.214,0.786,0.765,0.235,0.422,0.578
1,0022000670,1610612753,Magic,ORL,Orlando,240:00,0.589,0.411,0.518,0.161,0.348,0.08,0.134,0.054,0.357,0.276,0.724,0.769,0.231,0.429,0.571
0,0022000670,1610612756,Suns,PHX,Phoenix,240:00,0.633,0.367,0.523,0.216,0.297,0.126,0.18,0.108,0.306,0.448,0.552,0.818,0.182,0.55,0.45
