,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,converted_minutes,rolling_10_avg_minutes,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
461,WAS,Deni Avdija,22021,22100432,2021-12-16,WAS @ PHX,26.333333333333332,19.785000000000004,0.917,0.381,21.4,0.0,0.567,0.222,0.213,0.227,0.40049999999999997,0.2814,4.880000000000001,0.0382,0.5719,0.30379999999999996,0.11710000000000001,0.1626,29
462,IND,Darren Collison,22018,0021800058,2018-10-24,IND @ SAS,21.15,24.079166666666666,0.357,0.118,9.1,0.0,0.488,0.143,0.123,0.375,0.396,0.20699999999999996,14.675,0.012,0.5195,0.21600000000000003,0.14475000000000002,0.2375,4
463,LAC,Chris Paul,22013,0021301056,2014-03-24,LAC vs. MIL,36.55,35.068333333333335,0.385,,0.0,0.0,,,,,0.5265000000000001,,9.010000000000002,0.0213,,,,,53
464,NJN,Jordan Williams,22011,0021100731,2012-03-26,NJN vs. UTA,19.766666666666666,8.123333333333333,0.833,,0.0,0.105,,,,,0.36728571428571427,,8.585714285714285,0.0762,,,,,39
465,IND,Ian Mahinmi,22013,0021301114,2014-04-02,IND vs. DET,18.966666666666665,14.303333333333333,0.8,,0.0,0.118,,,,,0.5517777777777778,,17.58888888888889,0.09380000000000001,,,,,74
466,OKC,Terrance Ferguson,22017,0021700212,2017-11-15,OKC vs. CHI,3.6166666666666667,2.0300000000000002,0.0,0.0,0.0,0.0,0.875,0.5,0.0,0.0,0.2857142857142857,0.23814285714285716,4.757142857142857,0.0,0.5825714285714286,0.13642857142857143,0.3322857142857143,0.16071428571428573,13
467,NYK,Emmanuel Mudiay,22018,0021800998,2019-03-10,NYK @ MIN,20.666666666666668,23.419999999999998,0.286,0.086,38.5,0.0,0.417,0.071,0.135,0.238,0.5025,0.34859999999999997,18.529999999999998,0.013800000000000002,0.5264,0.31,0.11840000000000002,0.22589999999999993,48
468,PHX,Markieff Morris,22012,0021200910,2013-03-06,PHX vs. TOR,26.533333333333335,22.7,0.214,,30.8,0.115,,,,,0.4147,,12.14,0.07220000000000001,,,,,60
469,LAL,Anthony Davis,42019,0041900223,2020-09-08,LAL @ HOU,38.733333333333334,33.771428571428565,0.692,0.262,14.3,0.121,0.529,0.147,0.108,0.176,0.6357142857142858,0.3307142857142857,5.814285714285715,0.07957142857142856,0.48999999999999994,0.2338571428571429,0.15857142857142856,0.17985714285714288,7
470,BOS,Troy Murphy,42010,0041000212,2011-05-03,BOS @ MIA,0.0,0.61,,,,0.0,,,,,0.0,,0.0,0.05,,,,,5
471,NOP,Dyson Daniels,22023,0022300222,2023-11-20,NOP vs. SAC,24.616666666666667,29.523333333333333,0.375,0.245,0.0,0.0,0.419,0.395,0.171,0.241,0.6224999999999999,0.2707,11.68,0.0392,0.5515,0.24480000000000005,0.1377,0.28390000000000004,13
472,GSW,Stephen Curry,22022,0022201086,2023-03-22,GSW @ DAL,34.7,34.62833333333334,0.556,0.209,8.8,0.031,0.54,0.349,0.121,0.226,0.6347,0.21270000000000003,10.65,0.031900000000000005,0.5631,0.2481,0.1189,0.2591,47
473,MIL,Tony Snell,22016,0021600824,2017-02-13,MIL vs. DET,29.633333333333333,25.861666666666668,0.636,0.216,7.1,0.0,0.442,0.212,0.153,0.25,0.7932,0.355,9.24,0.0056,0.60125,0.31725,0.16937500000000003,0.247125,52
474,NYK,Tyson Chandler,22012,0021200139,2012-11-18,NYK vs. IND,27.533333333333335,28.340476190476185,0.429,,11.1,0.139,,,,,0.639,,11.471428571428572,0.1282857142857143,,,,,7
