,GAME_ID,GAME_DATE,MATCHUP,HOME_EFG_PCT,HOME_FTA_RATE,HOME_TM_TOV_PCT,HOME_OREB_PCT,HOME_OPP_EFG_PCT,HOME_OPP_FTA_RATE,HOME_OPP_TOV_PCT,HOME_OPP_OREB_PCT,HOME_GAME_COUNT,AWAY_EFG_PCT,AWAY_FTA_RATE,AWAY_TM_TOV_PCT,AWAY_OREB_PCT,AWAY_OPP_EFG_PCT,AWAY_OPP_FTA_RATE,AWAY_OPP_TOV_PCT,AWAY_OPP_OREB_PCT,AWAY_GAME_COUNT,PLUS_MINUS,TOTAL_POINTS,HOME_SPREAD,OVER_UNDER
664,21900925,2020-03-04,WAS @ POR,0.599,0.395,0.154,0.171,0.442,0.204,0.096,0.343,62,0.442,0.204,0.096,0.269,0.599,0.395,0.154,0.244,60,21.0,229,-7.5,243.0
665,21300486,2014-01-03,LAC @ DAL,0.58,0.159,0.126,0.244,0.543,0.463,0.104,0.326,32,0.543,0.463,0.104,0.283,0.58,0.159,0.126,0.267,34,-7.0,231,2.5,206.0
666,21801103,2019-03-25,PHI @ ORL,0.58,0.264,0.077,0.283,0.534,0.356,0.161,0.175,73,0.534,0.356,0.161,0.15,0.58,0.264,0.077,0.283,73,21.0,217,-2.0,218.5
667,22000637,2021-03-19,CHI @ DEN,0.604,0.297,0.122,0.191,0.617,0.256,0.165,0.25,40,0.617,0.256,0.165,0.188,0.604,0.297,0.122,0.234,39,4.0,258,-7.0,225.0
668,21701084,2018-03-23,MIA @ OKC,0.476,0.393,0.113,0.231,0.466,0.23,0.12,0.259,73,0.466,0.23,0.12,0.148,0.476,0.393,0.113,0.308,72,6.0,204,-6.5,214.5
669,21900225,2019-11-23,PHX @ MIN,0.484,0.187,0.135,0.158,0.396,0.271,0.068,0.222,15,0.396,0.271,0.068,0.19,0.484,0.187,0.135,0.228,14,-2.0,198,-5.0,230.5
670,22101172,2022-04-03,MIA @ TOR,0.494,0.41,0.162,0.196,0.633,0.278,0.174,0.268,77,0.633,0.278,0.174,0.195,0.494,0.41,0.162,0.373,78,-5.0,223,-5.0,214.0
671,22000283,2021-01-27,MIN @ GSW,0.618,0.271,0.2,0.262,0.506,0.379,0.158,0.296,17,0.506,0.379,0.158,0.204,0.618,0.271,0.2,0.31,16,12.0,234,-8.5,229.0
672,21800319,2018-11-30,CLE @ BOS,0.625,0.174,0.103,0.279,0.435,0.455,0.135,0.208,21,0.435,0.455,0.135,0.188,0.625,0.174,0.103,0.326,20,33.0,223,-13.0,209.0
673,21400164,2014-11-19,MIL @ BKN,0.527,0.315,0.188,0.2,0.468,0.259,0.126,0.365,10,0.468,0.259,0.126,0.254,0.527,0.315,0.188,0.26,11,-4.0,240,-6.5,198.5
674,21201181,2013-04-12,CHA @ DET,0.59,0.241,0.223,0.349,0.506,0.218,0.239,0.311,79,0.506,0.218,0.239,0.2,0.59,0.241,0.223,0.442,78,20.0,206,-7.5,197.5
675,21500209,2015-11-24,IND @ WAS,0.536,0.289,0.201,0.208,0.669,0.288,0.194,0.22,10,0.669,0.288,0.194,0.171,0.536,0.289,0.201,0.292,13,-17.0,229,-2.5,207.5
676,22100165,2021-11-10,OKC @ NOP,0.397,0.33,0.098,0.268,0.483,0.345,0.171,0.321,11,0.483,0.345,0.171,0.245,0.397,0.33,0.098,0.338,9,-8.0,208,-4.5,208.5
677,22100634,2022-01-14,PHX @ IND,0.46,0.205,0.121,0.164,0.517,0.261,0.148,0.32,42,0.517,0.261,0.148,0.24,0.46,0.205,0.121,0.236,40,-18.0,206,6.0,219.5
