,TEAM_ABBREVIATION,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,PLUS_MINUS,PTS,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
681,TOR,22015,0021500115,2015-11-11,TOR @ PHI,16.0,119,0.511,0.348,8.4,0.404,0.529,0.195,0.126,0.25,0.463125,0.382375,16.4375,0.32400000000000007,0.46299999999999997,0.3035,0.14900000000000002,0.266,8
682,NYK,22011,0021100375,2012-02-08,NYK @ WAS,14.0,107,0.5,0.407,8.5,0.304,0.47,0.229,0.148,0.25,0.4988,0.2752,18.0,0.30580000000000007,0.4732,0.3427,0.18130000000000002,0.3047,25
683,UTA,22014,0021400412,2014-12-22,UTA @ MEM,6.0,97,0.513,0.36,13.5,0.295,0.483,0.105,0.045,0.143,0.5055999999999999,0.2906,15.95,0.33890000000000003,0.5347,0.3036,0.1262,0.2978,28
684,TOR,22018,0021800271,2018-11-23,TOR vs. WAS,18.0,125,0.586,0.204,14.7,0.347,0.445,0.19,0.121,0.333,0.5504,0.22750000000000004,16.259999999999998,0.30050000000000004,0.506,0.246,0.14350000000000002,0.2468,19
685,TOR,22010,0021000061,2010-11-03,TOR @ UTA,-17.0,108,0.475,0.532,16.0,0.354,0.606,0.294,0.144,0.282,0.47433333333333333,0.272,16.133333333333333,0.3933333333333333,0.47100000000000003,0.20633333333333334,0.157,0.309,3
686,LAC,22022,0022200795,2023-02-04,LAC @ NYK,6.0,134,0.565,0.38,12.1,0.269,0.574,0.277,0.095,0.24,0.5727999999999999,0.25689999999999996,12.190000000000001,0.2866,0.5703,0.2823,0.11680000000000001,0.26949999999999996,55
687,LAL,22011,0021100180,2012-01-14,LAL @ LAC,-8.0,94,0.487,0.325,12.6,0.261,0.465,0.353,0.1,0.37,0.49779999999999996,0.292,18.7,0.2934,0.4514,0.27440000000000003,0.13099999999999998,0.23960000000000004,13
688,HOU,22017,0021701023,2018-03-15,HOU vs. LAC,5.0,101,0.456,0.256,12.0,0.368,0.474,0.082,0.091,0.364,0.5604,0.32599999999999996,15.149999999999997,0.27940000000000004,0.5053,0.22030000000000002,0.15219999999999997,0.29880000000000007,67
689,POR,22011,0021100783,2012-04-01,POR vs. MIN,13.0,119,0.574,0.227,10.5,0.302,0.494,0.449,0.086,0.227,0.48719999999999997,0.25060000000000004,15.4,0.28840000000000005,0.5556000000000001,0.2561,0.1553,0.34290000000000004,52
690,LAC,22012,0021200308,2012-12-11,LAC @ CHI,5.0,94,0.488,0.288,16.5,0.239,0.46,0.138,0.186,0.377,0.5133,0.2831,13.809999999999999,0.31839999999999996,0.5084,0.2995,0.1895,0.3115,20
691,NJN,22010,0021000020,2010-10-29,NJN vs. SAC,6.0,106,0.574,0.738,27.3,0.281,0.446,0.28,0.113,0.3,0.525,0.3,13.5,0.318,0.494,0.361,0.065,0.288,1
692,DAL,22015,0021500140,2015-11-14,DAL @ HOU,12.0,110,0.528,0.236,11.1,0.255,0.435,0.381,0.14,0.281,0.4812222222222223,0.2922222222222222,12.777777777777779,0.21855555555555553,0.4783333333333333,0.28122222222222226,0.1318888888888889,0.25422222222222224,9
693,LAC,22013,0021300270,2013-12-04,LAC @ ATL,-10.0,97,0.494,0.241,13.0,0.261,0.585,0.195,0.138,0.279,0.5151,0.36550000000000005,15.09,0.2762,0.46959999999999996,0.3117,0.1477,0.28890000000000005,18
694,NYK,22012,0021200745,2013-02-08,NYK @ MIN,6.0,100,0.519,0.247,11.4,0.311,0.469,0.338,0.111,0.313,0.5257000000000002,0.24620000000000003,14.579999999999998,0.30920000000000003,0.5119,0.24370000000000003,0.1565,0.2563,47
695,UTA,22023,0022300882,2024-03-04,UTA vs. WAS,12.0,127,0.564,0.149,12.3,0.296,0.511,0.245,0.137,0.263,0.5344,0.2611,15.38,0.3276,0.5964,0.2502,0.12389999999999998,0.26239999999999997,61
696,OKC,22023,0022301046,2024-03-26,OKC @ NOP,7.0,119,0.622,0.163,12.0,0.175,0.535,0.267,0.099,0.167,0.5540999999999999,0.23340000000000005,12.16,0.2611,0.5649,0.26320000000000005,0.1647,0.23769999999999997,70
697,CHI,22018,0021800959,2019-03-05,CHI @ IND,-9.0,96,0.409,0.258,10.4,0.317,0.518,0.286,0.126,0.294,0.545,0.27470000000000006,12.42,0.2521999999999999,0.5571,0.23570000000000002,0.11979999999999999,0.2258,64
698,OKC,22011,0021100307,2012-01-30,OKC @ LAC,-12.0,100,0.545,0.295,18.3,0.311,0.644,0.188,0.148,0.211,0.5198000000000002,0.3712,18.37,0.26890000000000003,0.4404,0.2752,0.16340000000000002,0.2953,19
699,DAL,22018,0021800181,2018-11-10,DAL vs. OKC,15.0,111,0.649,0.221,16.8,0.25,0.438,0.186,0.169,0.438,0.5211,0.29760000000000003,17.800000000000004,0.3028,0.5538000000000001,0.2924,0.1462,0.22790000000000005,11
700,NJN,22010,0021000005,2010-10-27,NJN vs. DET,3.0,101,0.525,0.3,13.5,0.318,0.494,0.361,0.065,0.288,,,,,,,,,0
701,SAS,22016,0021600994,2017-03-13,SAS vs. ATL,8.0,107,0.58,0.21,22.3,0.227,0.494,0.37,0.154,0.2,0.5145,0.2542,14.45,0.27149999999999996,0.4707,0.24459999999999998,0.1538,0.27979999999999994,65
702,CLE,22023,0022300001,2023-11-03,CLE @ IND,-5.0,116,0.571,0.298,12.6,0.178,0.61,0.279,0.175,0.318,0.4974,0.1992,12.940000000000001,0.246,0.5092,0.2636,0.1404,0.30280000000000007,5
703,MEM,22010,0021000944,2011-03-07,MEM vs. OKC,6.0,107,0.529,0.306,8.0,0.348,0.556,0.222,0.129,0.341,0.5035,0.2911,13.679999999999998,0.3358,0.5046,0.3328,0.1741,0.30419999999999997,64
704,WAS,22021,22100334,2021-12-03,WAS vs. CLE,-15.0,101,0.524,0.232,10.5,0.133,0.545,0.281,0.158,0.358,0.5211000000000001,0.2528,14.679999999999998,0.26230000000000003,0.5159,0.25239999999999996,0.10629999999999998,0.27049999999999996,22
705,LAC,22012,0021200451,2012-12-30,LAC vs. UTA,11.0,107,0.551,0.372,14.4,0.256,0.444,0.425,0.158,0.302,0.5265,0.3052,14.879999999999999,0.30460000000000004,0.45330000000000004,0.2867,0.1792,0.28859999999999997,30
706,ORL,22014,0021401187,2015-04-11,ORL vs. NYK,-1.0,79,0.393,0.214,16.7,0.316,0.415,0.159,0.164,0.269,0.491,0.18080000000000002,16.02,0.3163000000000001,0.4995,0.28090000000000004,0.14909999999999998,0.2965,79
