,PLAYER_NAME,minutes,points,assists,steals,blocks,rebounds,THREEPM,EFG_PCT,FT_PCT,DD
49,DaQuan Jeffries,0,0,0,0,0,0,0,,,0
50,Jericho Sims,0,0,0,0,0,0,0,,,0
51,Dylan Windler,0,0,0,0,0,0,0,,,0
52,Jimmy Butler,31,20,2,3,0,7,1,0.682,0.833,0
53,Haywood Highsmith,21,8,0,0,0,0,2,1.0,,0
54,Bam Adebayo,29,18,3,0,0,4,0,0.533,1.0,0
55,Tyler Herro,36,24,9,2,0,10,4,0.647,1.0,1
56,Kyle Lowry,25,3,7,2,0,3,1,0.375,,0
57,Duncan Robinson,29,18,6,1,0,1,4,0.818,,0
58,Thomas Bryant,18,11,0,0,1,4,0,0.714,0.5,0
59,Josh Richardson,25,10,5,0,0,3,1,0.75,1.0,0
60,Jaime Jaquez Jr.,21,9,3,1,0,5,0,0.8,1.0,0
61,Nikola Jovic,0,0,0,0,0,0,0,,,0
62,Kevin Love,0,0,0,0,0,0,0,,,0
63,Orlando Robinson,0,0,0,0,0,0,0,,,0
64,Dru Smith,0,0,0,0,0,0,0,,,0
65,Deni Avdija,23,14,3,0,0,4,1,0.813,0.5,0
66,Kyle Kuzma,31,22,3,0,0,4,4,0.526,1.0,0
67,Daniel Gafford,19,4,1,0,2,5,0,1.0,0.667,0
68,Jordan Poole,28,19,6,4,0,1,3,0.679,0.0,0
69,Bilal Coulibaly,26,9,3,0,0,3,1,0.9,0.0,0
70,Delon Wright,17,0,2,1,0,2,0,0.0,,0
71,Danilo Gallinari,9,6,3,0,0,3,0,0.6,0.0,0
72,Johnny Davis,13,11,0,1,0,1,1,1.1,,0
73,Landry Shamet,14,0,2,0,0,1,0,0.0,,0
74,Mike Muscala,12,5,1,0,0,1,1,0.5,,0
75,Ryan Rollins,7,7,2,0,1,1,1,0.625,0.667,0
76,Patrick Baldwin Jr.,0,0,0,0,0,0,0,,,0
77,DeMar DeRozan,33,24,4,0,0,1,2,0.5,1.0,0
78,Torrey Craig,23,3,4,1,0,6,1,0.375,,0
79,Nikola Vucevic,35,13,3,0,0,13,1,0.5,,1
80,Zach LaVine,38,24,5,1,1,7,1,0.5,0.75,0
81,Coby White,35,18,2,0,1,3,2,0.471,1.0,0
82,Jevon Carter,14,5,0,1,0,1,1,0.833,,0
83,Alex Caruso,26,3,2,0,1,2,1,0.75,,0
84,Patrick Williams,20,10,1,0,1,5,2,0.833,,0
85,Andre Drummond,12,7,0,1,0,4,0,1.0,0.25,0
86,Julian Phillips,0,0,0,0,0,0,0,,,0
87,Terry Taylor,0,0,0,0,0,0,0,,,0
88,Dalen Terry,0,0,0,0,0,0,0,,,0
89,Cam Thomas,30,17,4,0,1,5,3,0.417,1.0,0
90,Mikal Bridges,33,20,3,0,0,2,3,0.559,0.5,0
91,Spencer Dinwiddie,30,10,9,2,0,3,2,0.714,,0
92,Ben Simmons,32,8,6,1,0,9,0,0.5,,0
93,Lonnie Walker IV,15,11,1,0,1,1,1,0.55,,0
94,Dennis Smith Jr.,16,7,1,1,0,1,1,0.389,,0
95,Day'Ron Sharpe,15,6,0,0,0,10,0,1.0,0.0,0
96,Armoni Brooks,0,0,0,0,0,0,0,,,0
97,Harry Giles III,0,0,0,0,0,0,0,,,0
