,PLAYER_NAME,min,pts,ast,stl,blk,rb,tpm,efgp,ftp,dd
59,Collin Sexton,26.208333333333332,18.770833333333332,4.958333333333333,0.7708333333333334,0.2569444444444444,2.7291666666666665,1.6180555555555556,0.5283055555555556,0.873518796992481,0.04861111111111111
60,Zach LaVine,33.57142857142857,18.69047619047619,3.738095238095238,0.8095238095238095,0.30952380952380953,4.738095238095238,2.3095238095238093,0.5014285714285714,0.8740588235294119,0.023809523809523808
61,Kristaps Porzingis,28.530434782608694,18.678260869565218,1.9043478260869566,0.7478260869565218,1.9217391304347826,6.721739130434782,1.808695652173913,0.5729826086956522,0.8391588785046729,0.19130434782608696
62,Nikola Vucevic,33.78832116788321,17.94160583941606,3.3284671532846715,0.7153284671532847,0.7518248175182481,10.620437956204379,1.2262773722627738,0.5206058394160584,0.8433624999999999,0.6058394160583942
63,Klay Thompson,28.964788732394368,17.732394366197184,2.267605633802817,0.6549295774647887,0.4154929577464789,3.2746478873239435,3.4225352112676055,0.533471830985916,0.9505222222222222,0.0
64,D'Angelo Russell,32.09090909090909,17.707792207792206,6.259740259740259,0.8701298701298701,0.43506493506493504,3.0454545454545454,2.9155844155844157,0.5418896103896104,0.7829292035398229,0.12987012987012986
65,Darius Garland,33.184,17.704,6.432,1.272,0.144,2.832,2.344,0.5344480000000001,0.8249368421052633,0.104
66,Jordan Poole,29.62676056338028,17.654929577464788,4.457746478873239,1.176056338028169,0.30985915492957744,2.711267605633803,2.443661971830986,0.4648591549295773,0.8755739130434782,0.04929577464788732
67,Fred VanVleet,36.262773722627735,17.445255474452555,8.102189781021897,1.3722627737226278,0.7518248175182481,3.832116788321168,3.1386861313868613,0.5232189781021895,0.8423963963963966,0.2773722627737226
68,Jordan Clarkson,30.059405940594058,17.435643564356436,4.98019801980198,0.6435643564356436,0.1188118811881188,3.3564356435643563,1.7326732673267327,0.4461980198019802,0.880811764705882,0.10891089108910891
69,Brandon Miller,31.53191489361702,17.382978723404257,2.3617021276595747,0.9078014184397163,0.5886524822695035,4.24822695035461,2.5319148936170213,0.5235957446808509,0.7856981132075471,0.014184397163120567
70,Bradley Beal,32.52427184466019,17.339805825242717,4.883495145631068,0.9611650485436893,0.4563106796116505,4.194174757281553,1.9029126213592233,0.594504854368932,0.8285882352941175,0.04854368932038835
71,Myles Turner,27.45294117647059,17.229411764705883,1.4529411764705882,0.4764705882352941,1.8529411764705883,6.864705882352941,1.7117647058823529,0.5956235294117647,0.7683051948051947,0.20588235294117646
