,PLAYER_NAME,total_score
75,Jalen Williams,7.060937179677801
76,Zion Williamson,7.043484271265895
77,Tyler Herro,7.012321760170049
78,Draymond Green,6.957228166386187
79,Mike Conley,6.930823285282591
80,Bradley Beal,6.875718146205933
81,Brandon Ingram,6.82814233519187
82,Keegan Murray,6.813633998587865
83,Deni Avdija,6.780139001225955
84,Jonas Valanciunas,6.72186785588129
85,Marcus Smart,6.697310920199199
86,Josh Hart,6.636919656298294
87,Pascal Siakam,6.606533263572018
88,Austin Reaves,6.598061710843211
89,Coby White,6.589541097509967
90,Javonte Green,6.555401117879285
91,Devin Vassell,6.546399006274389
92,Daniel Gafford,6.418419914823407
93,Mikal Bridges,6.373442590977044
94,Grayson Allen,6.3451920228548815
95,Jordan Poole,6.203260838108693
96,Ivica Zubac,6.1368934186407404
97,Tyus Jones,6.124218909126195
98,Tobias Harris,6.087296067828007
99,Scotty Pippen Jr.,5.977627555810721
100,Klay Thompson,5.9365746684767995
101,Jalen Green,5.896766182083477
102,Franz Wagner,5.892852031053676
103,Herbert Jones,5.86174359589952
104,Isaiah Hartenstein,5.853042970875949
105,Trey Murphy III,5.819716762691288
106,Immanuel Quickley,5.805003633232025
107,Zach LaVine,5.794455982964334
108,OG Anunoby,5.743484835782464
109,Walker Kessler,5.596479787011793
110,Al Horford,5.561070247666853
111,Bobby Portis,5.540041084607636
112,Brandon Miller,5.402592231048771
113,Malcolm Brogdon,5.3624872630795775
114,Keldon Johnson,5.17183375242644
115,Max Strus,5.123670352034501
116,Jalen Suggs,5.086562731506416
117,Jerami Grant,5.083967613376988
118,Nick Richards,5.064083532024765
119,Collin Sexton,4.989913540825897
120,Vince Williams Jr.,4.951918877453304
121,Dennis Schroder,4.927638974274703
122,Kelly Olynyk,4.875998399100326
123,Aaron Gordon,4.870824887188345
124,Malik Monk,4.8278354095843765
125,Shaedon Sharpe,4.799567679134157
126,Chris Paul,4.754049304501282
127,De'Anthony Melton,4.686150984617527
128,Josh Giddey,4.677742041140926
129,Naz Reid,4.627491292257252
130,Buddy Hield,4.578727397269765
131,Saddiq Bey,4.541358431981915
132,Kelly Oubre Jr.,4.519545230627398
133,Jordan Clarkson,4.3941093138215725
134,Tari Eason,4.371575264746732
135,Amen Thompson,4.32858189966045
136,Caris LeVert,4.2805869540937165
137,Santi Aldama,4.21281399889449
138,RJ Barrett,4.19337572702358
139,P.J. Washington,4.132234765947985
140,Jeremy Sochan,4.111939190079813
141,Onyeka Okongwu,4.03233804261961
142,Aaron Nesmith,3.982256957817734
143,Kentavious Caldwell-Pope,3.9269918609925862
144,Tre Jones,3.8931562038520076
145,Cameron Johnson,3.8755326511005794
146,Kyle Lowry,3.8481870147909265
147,Cam Thomas,3.846242752487363
