,TEAM_ABBREVIATION,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,PLUS_MINUS,PTS,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
883,LAC,22018,0021800947,2019-03-03,LAC vs. NYK,21.0,128.0,0.587,0.173,0.15,0.173,0.46,0.386,0.122,0.164,0.5249090909090909,0.3463636363636364,0.14290909090909087,0.1781818181818182,0.5132727272727272,0.32763636363636367,0.13272727272727272,0.25272727272727274,65
884,CHI,22020,0022000850,2021-04-16,CHI vs. MEM,-11.0,,0.536,0.156,0.118,0.241,0.622,0.279,0.062,0.19,0.5482727272727274,0.18527272727272728,0.13672727272727273,0.20718181818181816,0.5629090909090909,0.22472727272727272,0.11218181818181817,0.22627272727272726,55
885,ATL,22012,0021200102,2012-11-12,ATL @ POR,8.0,,0.487,0.278,0.171,0.13,0.398,0.313,0.203,0.357,0.4953333333333334,0.21283333333333332,0.16466666666666666,0.20783333333333331,0.47983333333333333,0.22666666666666666,0.18716666666666668,0.327,6
886,TOR,22014,0021400630,2015-01-21,TOR @ MEM,-6.0,,0.347,0.376,0.152,0.344,0.466,0.392,0.143,0.326,0.4786363636363637,0.266,0.1609090909090909,0.2370909090909091,0.5153636363636364,0.28363636363636363,0.14209090909090907,0.28900000000000003,42
887,LAC,22013,0021301039,2014-03-22,LAC vs. DET,9.0,,0.608,0.205,0.135,0.167,0.516,0.14,0.17,0.364,0.5393636363636364,0.2640909090909091,0.1433636363636364,0.23363636363636367,0.47263636363636363,0.2683636363636364,0.1823636363636364,0.3139090909090909,70
888,SAC,22010,0021000287,2010-12-03,SAC @ LAL,-33.0,,0.435,0.286,0.219,0.24,0.584,0.265,0.114,0.225,0.4448181818181818,0.2941818181818182,0.17427272727272727,0.2787272727272727,0.49918181818181817,0.3550909090909091,0.1464545454545455,0.30727272727272725,17
889,MEM,22019,0021900232,2019-11-23,MEM vs. LAL,-1.0,108.0,0.562,0.146,0.21,0.25,0.53,0.345,0.157,0.294,0.539,0.19972727272727273,0.1600909090909091,0.19854545454545452,0.5456363636363636,0.2620909090909091,0.13481818181818184,0.27399999999999997,15
890,LAC,22016,0021600086,2016-11-05,LAC @ SAS,24.0,,0.566,0.154,0.091,0.159,0.473,0.338,0.161,0.178,0.476,0.32833333333333337,0.12633333333333333,0.18816666666666668,0.4506666666666666,0.29350000000000004,0.18183333333333332,0.25166666666666665,6
891,ORL,22020,0022000893,2021-04-22,ORL vs. NOP,-35.0,100.0,0.434,0.194,0.06,0.206,0.622,0.289,0.144,0.349,0.47936363636363644,0.28781818181818186,0.11418181818181818,0.183,0.583,0.22681818181818184,0.13654545454545455,0.2899090909090909,59
892,CHI,22014,0021401131,2015-04-03,CHI vs. DET,6.0,,0.412,0.247,0.138,0.358,0.473,0.203,0.205,0.318,0.5083636363636365,0.29200000000000004,0.13172727272727272,0.19672727272727275,0.45436363636363636,0.26145454545454544,0.12354545454545454,0.2927272727272727,76
