,GAME_ID,GAME_DATE,MATCHUP,HOME_EFG_PCT,HOME_FTA_RATE,HOME_TM_TOV_PCT,HOME_OREB_PCT,HOME_OPP_EFG_PCT,HOME_OPP_FTA_RATE,HOME_OPP_TOV_PCT,HOME_OPP_OREB_PCT,HOME_GAME_COUNT,AWAY_EFG_PCT,AWAY_FTA_RATE,AWAY_TM_TOV_PCT,AWAY_OREB_PCT,AWAY_OPP_EFG_PCT,AWAY_OPP_FTA_RATE,AWAY_OPP_TOV_PCT,AWAY_OPP_OREB_PCT,AWAY_GAME_COUNT,PLUS_MINUS,TOTAL_POINTS,HOME_SPREAD,OVER_UNDER
307,21900305,2019-12-03,POR @ LAC,0.548,0.266,0.105,0.196,0.467,0.165,0.132,0.245,22,0.467,0.165,0.132,0.226,0.548,0.266,0.105,0.304,21,20.0,214.0,-9.0,229.0
308,21400263,2014-12-03,CHI @ CHA,0.411,0.256,0.051,0.125,0.538,0.263,0.132,0.156,19,0.538,0.263,0.132,0.089,0.411,0.256,0.051,0.143,19,-7.0,,3.0,192.0
309,21900829,2020-02-21,PHX @ TOR,0.613,0.275,0.232,0.179,0.446,0.25,0.156,0.232,56,0.446,0.25,0.156,0.179,0.613,0.275,0.232,0.333,56,17.0,219.0,-8.0,228.5
310,22001045,2021-05-12,POR @ UTA,0.482,0.247,0.132,0.294,0.511,0.187,0.053,0.273,70,0.511,0.187,0.053,0.164,0.482,0.247,0.132,0.333,70,-7.0,,-0.5,234.5
311,21800197,2018-11-12,SAS @ SAC,0.564,0.14,0.134,0.152,0.494,0.184,0.15,0.235,14,0.494,0.184,0.15,0.176,0.564,0.14,0.134,0.196,12,5.0,,3.0,220.0
312,21400300,2014-12-07,NOP @ LAL,0.428,0.167,0.072,0.127,0.566,0.181,0.166,0.293,21,0.566,0.181,0.166,0.22,0.428,0.167,0.072,0.182,19,-17.0,,2.5,208.0
313,22100221,2021-11-17,HOU @ OKC,0.5,0.174,0.135,0.164,0.422,0.211,0.135,0.217,14,0.422,0.211,0.135,0.15,0.5,0.174,0.135,0.273,15,12.0,190.0,-3.0,214.0
314,22100537,2021-12-31,MIN @ UTA,0.545,0.526,0.173,0.222,0.505,0.237,0.098,0.241,35,0.505,0.237,0.098,0.19,0.545,0.526,0.173,0.333,35,12.0,228.0,-12.5,222.0
315,22000573,2021-03-11,NYK @ MIL,0.678,0.195,0.118,0.135,0.494,0.239,0.147,0.259,37,0.494,0.239,0.147,0.185,0.678,0.195,0.118,0.189,38,33.0,235.0,-10.5,222.5
316,21900810,2020-02-12,MIL @ IND,0.576,0.279,0.153,0.186,0.478,0.275,0.165,0.315,55,0.478,0.275,0.165,0.204,0.576,0.279,0.153,0.233,54,7.0,229.0,-1.0,222.5
317,21201016,2013-03-20,GSW @ SAS,0.529,0.176,0.126,0.182,0.476,0.179,0.178,0.362,68,0.476,0.179,0.178,0.255,0.529,0.176,0.126,0.295,70,11.0,,-8.5,203.0
318,21300780,2014-02-12,SAS @ BOS,0.5,0.213,0.151,0.191,0.555,0.171,0.109,0.22,54,0.555,0.171,0.109,0.146,0.5,0.213,0.151,0.255,53,-12.0,,3.5,194.0
319,21300857,2014-02-26,LAL @ MEM,0.511,0.228,0.12,0.255,0.591,0.234,0.158,0.143,56,0.591,0.234,0.158,0.119,0.511,0.228,0.12,0.392,58,5.0,,-11.0,198.0
320,22200915,2023-02-26,SAC @ OKC,0.57,0.267,0.138,0.188,0.635,0.282,0.195,0.341,60,0.635,0.282,0.195,0.295,0.57,0.267,0.138,0.25,60,-9.0,239.0,4.0,239.0
321,22000810,2021-04-11,SAS @ DAL,0.548,0.16,0.118,0.22,0.59,0.325,0.15,0.317,52,0.59,0.325,0.15,0.244,0.548,0.16,0.118,0.34,51,-2.0,,-6.5,220.0
322,22000017,2020-12-23,SAS @ MEM,0.568,0.189,0.101,0.102,0.558,0.305,0.099,0.224,1,0.558,0.305,0.099,0.163,0.568,0.189,0.101,0.143,1,-12.0,250.0,-2.0,230.0
323,22000308,2021-01-31,LAC @ NYK,0.541,0.329,0.084,0.208,0.648,0.346,0.075,0.289,21,0.648,0.346,0.075,0.184,0.541,0.329,0.084,0.271,21,-14.0,,9.5,211.0
324,22100387,2021-12-10,CLE @ MIN,0.451,0.304,0.129,0.169,0.618,0.259,0.161,0.22,26,0.618,0.259,0.161,0.146,0.451,0.304,0.129,0.254,27,-17.0,229.0,1.5,212.5
