,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0020800045,1610612763,Grizzlies,MEM,Memphis,240:00,0.487,0.269,0.191,0.244,0.359,0.146,0.124,0.359
1,0020800046,1610612739,Cavaliers,CLE,Cleveland,240:00,0.475,0.405,0.128,0.375,0.43,0.366,0.16,0.244
0,0020800046,1610612742,Mavericks,DAL,Dallas,240:00,0.43,0.366,0.16,0.2,0.475,0.405,0.128,0.417
1,0020800047,1610612746,Clippers,LAC,Los Angeles,240:00,0.444,0.278,0.212,0.2,0.416,0.403,0.112,0.298
0,0020800047,1610612762,Jazz,UTA,Utah,240:00,0.416,0.403,0.112,0.234,0.444,0.278,0.212,0.26
1,0020800048,1610612751,Nets,NJN,New Jersey,240:00,0.38,0.313,0.154,0.211,0.721,0.338,0.212,0.172
0,0020800048,1610612756,Suns,PHX,Phoenix,240:00,0.721,0.338,0.212,0.138,0.38,0.313,0.154,0.333
1,0020800049,1610612738,Celtics,BOS,Boston,240:00,0.539,0.351,0.185,0.333,0.431,0.322,0.115,0.345
0,0020800049,1610612745,Rockets,HOU,Houston,240:00,0.431,0.322,0.115,0.273,0.539,0.351,0.185,0.333
1,0020800050,1610612742,Mavericks,DAL,Dallas,240:00,0.574,0.062,0.086,0.237,0.465,0.278,0.088,0.174
0,0020800050,1610612759,Spurs,SAS,San Antonio,240:00,0.465,0.278,0.088,0.174,0.574,0.062,0.086,0.263
1,0020800051,1610612754,Pacers,IND,Indiana,240:00,0.5,0.325,0.156,0.16,0.591,0.377,0.172,0.263
0,0020800051,1610612756,Suns,PHX,Phoenix,240:00,0.591,0.377,0.172,0.211,0.5,0.325,0.156,0.26
0,0020800052,1610612761,Raptors,TOR,Toronto,240:00,0.493,0.28,0.123,0.14,0.476,0.259,0.076,0.306
1,0020800052,1610612765,Pistons,DET,Detroit,240:00,0.476,0.259,0.076,0.204,0.493,0.28,0.123,0.209
1,0020800053,1610612748,Heat,MIA,Miami,240:00,0.506,0.337,0.144,0.25,0.41,0.361,0.264,0.267
0,0020800053,1610612755,76ers,PHI,Philadelphia,240:00,0.41,0.361,0.264,0.244,0.506,0.337,0.144,0.271
0,0020800054,1610612752,Knicks,NYK,New York,240:00,0.571,0.182,0.221,0.225,0.518,0.179,0.207,0.4
1,0020800054,1610612766,Bobcats,CHA,Charlotte,240:00,0.518,0.179,0.207,0.4,0.571,0.182,0.221,0.3
0,0020800055,1610612739,Cavaliers,CLE,Cleveland,240:00,0.482,0.402,0.132,0.229,0.443,0.342,0.136,0.22
1,0020800055,1610612741,Bulls,CHI,Chicago,240:00,0.443,0.342,0.136,0.16,0.482,0.402,0.132,0.333
1,0020800056,1610612749,Bucks,MIL,Milwaukee,265:00,0.522,0.286,0.174,0.235,0.449,0.654,0.188,0.314
0,0020800056,1610612764,Wizards,WAS,Washington,265:00,0.449,0.654,0.188,0.275,0.522,0.286,0.174,0.353
1,0020800057,1610612750,Timberwolves,MIN,Minnesota,290:00,0.481,0.264,0.085,0.18,0.546,0.289,0.107,0.275
0,0020800057,1610612759,Spurs,SAS,San Antonio,290:00,0.546,0.289,0.107,0.176,0.481,0.264,0.085,0.328
1,0020800058,1610612737,Hawks,ATL,Atlanta,240:00,0.506,0.165,0.163,0.271,0.472,0.211,0.177,0.233
0,0020800058,1610612740,Hornets,NOH,New Orleans,240:00,0.472,0.211,0.177,0.186,0.506,0.165,0.163,0.333
1,0020800059,1610612738,Celtics,BOS,Boston,240:00,0.476,0.277,0.147,0.235,0.405,0.226,0.159,0.268
0,0020800059,1610612760,Thunder,OKC,Oklahoma City,240:00,0.405,0.226,0.159,0.232,0.476,0.277,0.147,0.333
1,0020800060,1610612757,Trail Blazers,POR,Portland,240:00,0.507,0.37,0.186,0.341,0.554,0.297,0.182,0.417
0,0020800060,1610612762,Jazz,UTA,Utah,240:00,0.554,0.297,0.182,0.333,0.507,0.37,0.186,0.364
0,0020800061,1610612758,Kings,SAC,Sacramento,240:00,0.568,0.311,0.202,0.25,0.514,0.451,0.2,0.333
1,0020800061,1610612763,Grizzlies,MEM,Memphis,240:00,0.514,0.451,0.2,0.289,0.568,0.311,0.202,0.417
1,0020800062,1610612743,Nuggets,DEN,Denver,240:00,0.455,0.284,0.19,0.275,0.478,0.4,0.101,0.34
0,0020800062,1610612744,Warriors,GSW,Golden State,240:00,0.478,0.4,0.101,0.321,0.455,0.284,0.19,0.412
1,0020800063,1610612746,Clippers,LAC,Los Angeles,240:00,0.433,0.167,0.183,0.207,0.435,0.529,0.118,0.386
0,0020800063,1610612747,Lakers,LAL,Los Angeles,240:00,0.435,0.529,0.118,0.263,0.433,0.167,0.183,0.293
1,0020800064,1610612753,Magic,ORL,Orlando,240:00,0.506,0.317,0.108,0.216,0.405,0.137,0.143,0.367
0,0020800064,1610612755,76ers,PHI,Philadelphia,240:00,0.405,0.137,0.143,0.283,0.506,0.317,0.108,0.235
1,0020800065,1610612745,Rockets,HOU,Houston,265:00,0.513,0.295,0.088,0.114,0.494,0.191,0.13,0.392
0,0020800065,1610612757,Trail Blazers,POR,Portland,265:00,0.494,0.191,0.13,0.314,0.513,0.295,0.088,0.159
0,0020800066,1610612740,Hornets,NOH,New Orleans,240:00,0.493,0.25,0.188,0.244,0.47,0.463,0.175,0.308
1,0020800066,1610612766,Bobcats,CHA,Charlotte,240:00,0.47,0.463,0.175,0.256,0.493,0.25,0.188,0.356
1,0020800067,1610612752,Knicks,NYK,New York,240:00,0.583,0.211,0.096,0.077,0.545,0.213,0.12,0.229
0,0020800067,1610612764,Wizards,WAS,Washington,240:00,0.545,0.213,0.12,0.188,0.583,0.211,0.096,0.135
1,0020800068,1610612737,Hawks,ATL,Atlanta,240:00,0.617,0.16,0.158,0.189,0.457,0.272,0.125,0.213
0,0020800068,1610612761,Raptors,TOR,Toronto,240:00,0.457,0.272,0.125,0.149,0.617,0.16,0.158,0.27
1,0020800069,1610612738,Celtics,BOS,Boston,240:00,0.506,0.342,0.18,0.205,0.436,0.359,0.227,0.314
0,0020800069,1610612749,Bucks,MIL,Milwaukee,240:00,0.436,0.359,0.227,0.235,0.506,0.342,0.18,0.273
1,0020800070,1610612739,Cavaliers,CLE,Cleveland,240:00,0.565,0.364,0.163,0.179,0.533,0.122,0.24,0.468
0,0020800070,1610612754,Pacers,IND,Indiana,240:00,0.533,0.122,0.24,0.404,0.565,0.364,0.163,0.231
0,0020800071,1610612751,Nets,NJN,New Jersey,240:00,0.445,0.439,0.087,0.28,0.44,0.52,0.111,0.269
1,0020800071,1610612765,Pistons,DET,Detroit,240:00,0.44,0.52,0.111,0.231,0.445,0.439,0.087,0.32
1,0020800072,1610612748,Heat,MIA,Miami,240:00,0.513,0.286,0.091,0.163,0.441,0.153,0.151,0.316
0,0020800072,1610612759,Spurs,SAS,San Antonio,240:00,0.441,0.153,0.151,0.211,0.513,0.286,0.091,0.209
1,0020800073,1610612741,Bulls,CHI,Chicago,240:00,0.558,0.312,0.134,0.244,0.435,0.42,0.19,0.174
0,0020800073,1610612756,Suns,PHX,Phoenix,240:00,0.435,0.42,0.19,0.109,0.558,0.312,0.134,0.268
1,0020800074,1610612760,Thunder,OKC,Oklahoma City,240:00,0.463,0.37,0.143,0.208,0.542,0.5,0.198,0.3
0,0020800074,1610612762,Jazz,UTA,Utah,240:00,0.542,0.5,0.198,0.275,0.463,0.37,0.143,0.271
1,0020800075,1610612750,Timberwolves,MIN,Minnesota,240:00,0.476,0.393,0.106,0.275,0.589,0.274,0.106,0.333
0,0020800075,1610612758,Kings,SAC,Sacramento,240:00,0.589,0.274,0.106,0.256,0.476,0.393,0.106,0.333
1,0020800076,1610612742,Mavericks,DAL,Dallas,240:00,0.474,0.167,0.165,0.293,0.403,0.455,0.107,0.393
0,0020800076,1610612743,Nuggets,DEN,Denver,240:00,0.403,0.455,0.107,0.25,0.474,0.167,0.165,0.362
1,0020800077,1610612744,Warriors,GSW,Golden State,240:00,0.44,0.512,0.126,0.236,0.489,0.337,0.132,0.392
0,0020800077,1610612763,Grizzlies,MEM,Memphis,240:00,0.489,0.337,0.132,0.333,0.44,0.512,0.126,0.291
1,0020800078,1610612745,Rockets,HOU,Houston,240:00,0.468,0.266,0.146,0.267,0.452,0.169,0.123,0.3
0,0020800078,1610612746,Clippers,LAC,Los Angeles,240:00,0.452,0.169,0.123,0.22,0.468,0.266,0.146,0.333
0,0020800079,1610612751,Nets,NJN,New Jersey,240:00,0.427,0.347,0.155,0.189,0.506,0.268,0.145,0.38
1,0020800079,1610612754,Pacers,IND,Indiana,240:00,0.506,0.268,0.145,0.3,0.427,0.347,0.155,0.283
1,0020800080,1610612753,Magic,ORL,Orlando,240:00,0.551,0.385,0.141,0.273,0.43,0.228,0.167,0.286
0,0020800080,1610612764,Wizards,WAS,Washington,240:00,0.43,0.228,0.167,0.143,0.551,0.385,0.141,0.341
0,0020800081,1610612740,Hornets,NOH,New Orleans,240:00,0.513,0.382,0.115,0.273,0.486,0.361,0.117,0.205
1,0020800081,1610612748,Heat,MIA,Miami,240:00,0.486,0.361,0.117,0.182,0.513,0.382,0.115,0.341
0,0020800082,1610612739,Cavaliers,CLE,Cleveland,240:00,0.5,0.341,0.127,0.273,0.453,0.271,0.152,0.431
1,0020800082,1610612741,Bulls,CHI,Chicago,240:00,0.453,0.271,0.152,0.333,0.5,0.341,0.127,0.455
1,0020800083,1610612749,Bucks,MIL,Milwaukee,240:00,0.459,0.256,0.115,0.22,0.492,0.885,0.179,0.231
0,0020800083,1610612756,Suns,PHX,Phoenix,240:00,0.492,0.885,0.179,0.179,0.459,0.256,0.115,0.22
1,0020800084,1610612750,Timberwolves,MIN,Minnesota,240:00,0.446,0.286,0.12,0.275,0.514,0.411,0.135,0.395
0,0020800084,1610612757,Trail Blazers,POR,Portland,240:00,0.514,0.411,0.135,0.372,0.446,0.286,0.12,0.412
0,0020800085,1610612761,Raptors,TOR,Toronto,240:00,0.521,0.282,0.142,0.175,0.401,0.235,0.103,0.259
1,0020800085,1610612766,Bobcats,CHA,Charlotte,240:00,0.401,0.235,0.103,0.204,0.521,0.282,0.142,0.225
1,0020800086,1610612752,Knicks,NYK,New York,240:00,0.488,0.341,0.173,0.24,0.538,0.228,0.22,0.214
0,0020800086,1610612762,Jazz,UTA,Utah,240:00,0.538,0.228,0.22,0.214,0.488,0.341,0.173,0.3
1,0020800087,1610612742,Mavericks,DAL,Dallas,240:00,0.431,0.264,0.131,0.208,0.545,0.295,0.18,0.227
0,0020800087,1610612746,Clippers,LAC,Los Angeles,240:00,0.545,0.295,0.18,0.136,0.431,0.264,0.131,0.264
1,0020800088,1610612738,Celtics,BOS,Boston,240:00,0.473,0.311,0.215,0.25,0.38,0.373,0.184,0.269
0,0020800088,1610612765,Pistons,DET,Detroit,240:00,0.38,0.373,0.184,0.231,0.473,0.311,0.215,0.341
1,0020800089,1610612737,Hawks,ATL,Atlanta,240:00,0.417,0.423,0.139,0.235,0.402,0.23,0.172,0.309
0,0020800089,1610612760,Thunder,OKC,Oklahoma City,240:00,0.402,0.23,0.172,0.255,0.417,0.423,0.139,0.275
1,0020800090,1610612743,Nuggets,DEN,Denver,240:00,0.449,0.577,0.202,0.208,0.415,0.535,0.218,0.125
0,0020800090,1610612763,Grizzlies,MEM,Memphis,240:00,0.415,0.535,0.218,0.104,0.449,0.577,0.202,0.264
1,0020800091,1610612744,Warriors,GSW,Golden State,240:00,0.426,0.274,0.149,0.246,0.506,0.364,0.16,0.354
0,0020800091,1610612758,Kings,SAC,Sacramento,240:00,0.506,0.364,0.16,0.271,0.426,0.274,0.149,0.344
1,0020800092,1610612745,Rockets,HOU,Houston,240:00,0.421,0.232,0.212,0.302,0.589,0.291,0.193,0.395
0,0020800092,1610612747,Lakers,LAL,Los Angeles,240:00,0.589,0.291,0.193,0.368,0.421,0.232,0.212,0.321
1,0020800093,1610612754,Pacers,IND,Indiana,240:00,0.506,0.341,0.109,0.17,0.414,0.28,0.174,0.39
0,0020800093,1610612760,Thunder,OKC,Oklahoma City,240:00,0.414,0.28,0.174,0.322,0.506,0.341,0.109,0.255
1,0020800094,1610612753,Magic,ORL,Orlando,240:00,0.5,0.535,0.153,0.227,0.494,0.4,0.063,0.191
0,0020800094,1610612757,Trail Blazers,POR,Portland,240:00,0.494,0.4,0.063,0.106,0.5,0.535,0.153,0.273
1,0020800095,1610612738,Celtics,BOS,Boston,240:00,0.479,0.37,0.121,0.116,0.481,0.234,0.172,0.239
0,0020800095,1610612761,Raptors,TOR,Toronto,240:00,0.481,0.234,0.172,0.174,0.479,0.37,0.121,0.186
1,0020800096,1610612748,Heat,MIA,Miami,240:00,0.521,0.457,0.148,0.214,0.556,0.282,0.216,0.35
0,0020800096,1610612751,Nets,NJN,New Jersey,240:00,0.556,0.282,0.216,0.275,0.521,0.457,0.148,0.286
0,0020800097,1610612756,Suns,PHX,Phoenix,240:00,0.539,0.368,0.189,0.171,0.465,0.291,0.157,0.32
1,0020800097,1610612763,Grizzlies,MEM,Memphis,240:00,0.465,0.291,0.157,0.22,0.539,0.368,0.189,0.268
0,0020800098,1610612743,Nuggets,DEN,Denver,240:00,0.466,0.384,0.171,0.174,0.448,0.221,0.187,0.271
1,0020800098,1610612766,Bobcats,CHA,Charlotte,240:00,0.448,0.221,0.187,0.125,0.466,0.384,0.171,0.261
1,0020800099,1610612739,Cavaliers,CLE,Cleveland,240:00,0.507,0.444,0.114,0.2,0.424,0.392,0.184,0.412
