,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
1,0022000046,1610612739,Cavaliers,CLE,Cleveland,240:00,0.403,0.25,0.134,0.241,0.519,0.266,0.267,0.375
0,0022000046,1610612752,Knicks,NYK,New York,240:00,0.519,0.266,0.267,0.292,0.403,0.25,0.134,0.259
0,0022000047,1610612744,Warriors,GSW,Golden State,240:00,0.592,0.474,0.178,0.089,0.451,0.315,0.145,0.349
1,0022000047,1610612765,Pistons,DET,Detroit,240:00,0.451,0.315,0.145,0.254,0.592,0.474,0.178,0.311
1,0022000048,1610612738,Celtics,BOS,Boston,240:00,0.556,0.463,0.142,0.273,0.583,0.19,0.147,0.19
0,0022000048,1610612754,Pacers,IND,Indiana,240:00,0.583,0.19,0.147,0.095,0.556,0.463,0.142,0.273
1,0022000049,1610612755,76ers,PHI,Philadelphia,240:00,0.429,0.393,0.183,0.167,0.45,0.156,0.188,0.22
0,0022000049,1610612761,Raptors,TOR,Toronto,240:00,0.45,0.156,0.188,0.169,0.429,0.393,0.183,0.315
1,0022000050,1610612741,Bulls,CHI,Chicago,240:00,0.523,0.368,0.127,0.096,0.5,0.31,0.194,0.204
0,0022000050,1610612764,Wizards,WAS,Washington,240:00,0.5,0.31,0.194,0.163,0.523,0.368,0.127,0.173
1,0022000051,1610612748,Heat,MIA,Miami,240:00,0.538,0.228,0.208,0.067,0.712,0.163,0.161,0.333
0,0022000051,1610612749,Bucks,MIL,Milwaukee,240:00,0.712,0.163,0.161,0.238,0.538,0.228,0.208,0.178
0,0022000052,1610612753,Magic,ORL,Orlando,240:00,0.547,0.167,0.108,0.245,0.557,0.218,0.19,0.271
1,0022000052,1610612760,Thunder,OKC,Oklahoma City,240:00,0.557,0.218,0.19,0.208,0.547,0.167,0.108,0.245
1,0022000053,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.234,0.188,0.163,0.554,0.226,0.13,0.277
0,0022000053,1610612756,Suns,PHX,Phoenix,240:00,0.554,0.226,0.13,0.255,0.5,0.234,0.188,0.279
1,0022000054,1610612746,Clippers,LAC,LA,240:00,0.625,0.182,0.146,0.163,0.489,0.191,0.141,0.259
0,0022000054,1610612750,Timberwolves,MIN,Minnesota,240:00,0.489,0.191,0.141,0.204,0.625,0.182,0.146,0.302
1,0022000055,1610612743,Nuggets,DEN,Denver,240:00,0.611,0.247,0.195,0.189,0.574,0.234,0.107,0.275
0,0022000055,1610612758,Kings,SAC,Sacramento,240:00,0.574,0.234,0.107,0.235,0.611,0.247,0.195,0.27
1,0022000056,1610612738,Celtics,BOS,Boston,240:00,0.626,0.154,0.155,0.227,0.478,0.269,0.196,0.439
0,0022000056,1610612763,Grizzlies,MEM,Memphis,240:00,0.478,0.269,0.196,0.246,0.626,0.154,0.155,0.25
1,0022000057,1610612737,Hawks,ATL,Atlanta,240:00,0.566,0.354,0.11,0.309,0.635,0.23,0.082,0.24
0,0022000057,1610612751,Nets,BKN,Brooklyn,240:00,0.635,0.23,0.082,0.18,0.566,0.354,0.11,0.418
1,0022000058,1610612748,Heat,MIA,Miami,240:00,0.579,0.354,0.206,0.222,0.471,0.127,0.124,0.286
0,0022000058,1610612749,Bucks,MIL,Milwaukee,240:00,0.471,0.127,0.124,0.254,0.579,0.354,0.206,0.311
0,0022000059,1610612742,Mavericks,DAL,Dallas,240:00,0.46,0.379,0.137,0.22,0.601,0.25,0.228,0.357
1,0022000059,1610612766,Hornets,CHA,Charlotte,240:00,0.601,0.25,0.228,0.286,0.46,0.379,0.137,0.288
1,0022000060,1610612747,Lakers,LAL,Los Angeles,240:00,0.646,0.244,0.169,0.179,0.517,0.264,0.109,0.2
0,0022000060,1610612759,Spurs,SAS,San Antonio,240:00,0.517,0.264,0.109,0.14,0.646,0.244,0.169,0.179
1,0022000061,1610612746,Clippers,LAC,LA,240:00,0.589,0.232,0.105,0.22,0.5,0.447,0.181,0.196
0,0022000061,1610612757,Trail Blazers,POR,Portland,240:00,0.5,0.447,0.181,0.109,0.589,0.232,0.105,0.28
1,0022000062,1610612739,Cavaliers,CLE,Cleveland,240:00,0.524,0.293,0.181,0.22,0.575,0.276,0.137,0.255
