GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21900964,1610612763,Grizzlies,MEM,Memphis,240:00,0.572,0.5,0.197,0.167,0.543,0.239,0.151,0.333
21900965,1610612742,Mavericks,DAL,Dallas,240:00,0.549,0.12,0.135,0.137,0.601,0.169,0.118,0.196
21900965,1610612759,Spurs,SAS,San Antonio,240:00,0.601,0.169,0.118,0.13,0.549,0.12,0.135,0.255
21900966,1610612756,Suns,PHX,Phoenix,240:00,0.466,0.287,0.136,0.17,0.601,0.191,0.112,0.217
21900966,1610612757,Trail Blazers,POR,Portland,240:00,0.601,0.191,0.112,0.196,0.466,0.287,0.136,0.245
21900967,1610612744,Warriors,GSW,Golden State,240:00,0.538,0.342,0.103,0.091,0.609,0.207,0.11,0.283
21900967,1610612746,Clippers,LAC,LA,240:00,0.609,0.207,0.11,0.239,0.538,0.342,0.103,0.114
21900968,1610612747,Lakers,LAL,Los Angeles,240:00,0.546,0.138,0.151,0.16,0.483,0.256,0.113,0.286
21900968,1610612751,Nets,BKN,Brooklyn,240:00,0.483,0.256,0.113,0.25,0.546,0.138,0.151,0.26
21900969,1610612737,Hawks,ATL,Atlanta,265:00,0.519,0.245,0.142,0.242,0.59,0.362,0.104,0.167
21900969,1610612752,Knicks,NYK,New York,265:00,0.59,0.362,0.104,0.125,0.519,0.245,0.142,0.306
21900970,1610612748,Heat,MIA,Miami,240:00,0.554,0.071,0.153,0.196,0.555,0.268,0.154,0.391
21900970,1610612766,Hornets,CHA,Charlotte,240:00,0.555,0.268,0.154,0.326,0.554,0.071,0.153,0.217
21900971,1610612755,76ers,PHI,Philadelphia,240:00,0.59,0.386,0.143,0.289,0.53,0.298,0.092,0.22
21900971,1610612765,Pistons,DET,Detroit,240:00,0.53,0.298,0.092,0.12,0.59,0.386,0.143,0.4
21900973,1610612742,Mavericks,DAL,Dallas,240:00,0.522,0.25,0.11,0.245,0.554,0.096,0.161,0.089
21900973,1610612743,Nuggets,DEN,Denver,240:00,0.554,0.096,0.161,0.067,0.522,0.25,0.11,0.302
21901231,1610612740,Pelicans,NOP,New Orleans,240:00,0.484,0.191,0.195,0.263,0.488,0.333,0.192,0.34
21901231,1610612762,Jazz,UTA,Utah,240:00,0.488,0.333,0.192,0.24,0.484,0.191,0.195,0.368
21901232,1610612746,Clippers,LAC,LA,240:00,0.541,0.378,0.211,0.093,0.457,0.451,0.155,0.255
21901232,1610612747,Lakers,LAL,Los Angeles,240:00,0.457,0.451,0.155,0.2,0.541,0.378,0.211,0.186
21901233,1610612751,Nets,BKN,Brooklyn,240:00,0.555,0.253,0.133,0.2,0.592,0.322,0.13,0.233
21901233,1610612753,Magic,ORL,Orlando,240:00,0.592,0.322,0.13,0.14,0.555,0.253,0.133,0.22
21901234,1610612757,Trail Blazers,POR,Portland,265:00,0.61,0.374,0.149,0.205,0.522,0.538,0.11,0.321
21901234,1610612763,Grizzlies,MEM,Memphis,265:00,0.522,0.538,0.11,0.189,0.61,0.374,0.149,0.25
21901235,1610612756,Suns,PHX,Phoenix,240:00,0.594,0.4,0.167,0.105,0.505,0.253,0.162,0.245
21901235,1610612764,Wizards,WAS,Washington,240:00,0.505,0.253,0.162,0.163,0.594,0.4,0.167,0.184
21901236,1610612738,Celtics,BOS,Boston,240:00,0.467,0.374,0.148,0.246,0.542,0.405,0.14,0.213
21901236,1610612749,Bucks,MIL,Milwaukee,240:00,0.542,0.405,0.14,0.149,0.467,0.374,0.148,0.281
21901237,1610612758,Kings,SAC,Sacramento,240:00,0.547,0.211,0.158,0.163,0.594,0.3,0.139,0.222
21901237,1610612759,Spurs,SAS,San Antonio,240:00,0.594,0.3,0.139,0.2,0.547,0.211,0.158,0.306
21901238,1610612742,Mavericks,DAL,Dallas,265:00,0.576,0.362,0.155,0.21,0.609,0.386,0.075,0.17
21901238,1610612745,Rockets,HOU,Houston,265:00,0.609,0.386,0.075,0.132,0.576,0.362,0.155,0.355
21901239,1610612743,Nuggets,DEN,Denver,240:00,0.483,0.27,0.18,0.25,0.646,0.514,0.163,0.212
21901239,1610612748,Heat,MIA,Miami,240:00,0.646,0.514,0.163,0.182,0.483,0.27,0.18,0.346
21901240,1610612760,Thunder,OKC,Oklahoma City,240:00,0.597,0.312,0.223,0.297,0.437,0.253,0.159,0.296
21901240,1610612762,Jazz,UTA,Utah,240:00,0.437,0.253,0.159,0.222,0.597,0.312,0.223,0.351
21901241,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.329,0.169,0.173,0.569,0.402,0.096,0.208
21901241,1610612746,Clippers,LAC,LA,240:00,0.569,0.402,0.096,0.151,0.5,0.329,0.169,0.231
21901242,1610612754,Pacers,IND,Indiana,240:00,0.579,0.242,0.095,0.196,0.543,0.269,0.2,0.438
21901242,1610612755,76ers,PHI,Philadelphia,240:00,0.543,0.269,0.2,0.417,0.579,0.242,0.095,0.255
21901243,1610612747,Lakers,LAL,Los Angeles,240:00,0.415,0.402,0.169,0.14,0.5,0.31,0.169,0.24
21901243,1610612761,Raptors,TOR,Toronto,240:00,0.5,0.31,0.169,0.14,0.415,0.402,0.169,0.211
21901244,1610612751,Nets,BKN,Brooklyn,240:00,0.483,0.411,0.105,0.241,0.506,0.307,0.126,0.275
21901244,1610612764,Wizards,WAS,Washington,240:00,0.506,0.307,0.126,0.196,0.483,0.411,0.105,0.315
21901245,1610612738,Celtics,BOS,Boston,240:00,0.662,0.442,0.14,0.162,0.606,0.178,0.12,0.311
21901245,1610612757,Trail Blazers,POR,Portland,240:00,0.606,0.178,0.12,0.2,0.662,0.442,0.14,0.243
21901246,1610612759,Spurs,SAS,San Antonio,240:00,0.488,0.384,0.161,0.222,0.5,0.198,0.111,0.135
21901246,1610612763,Grizzlies,MEM,Memphis,240:00,0.5,0.198,0.111,0.058,0.488,0.384,0.161,0.278
21901247,1610612753,Magic,ORL,Orlando,240:00,0.634,0.427,0.174,0.279,0.538,0.242,0.141,0.25
21901247,1610612758,Kings,SAC,Sacramento,240:00,0.538,0.242,0.141,0.188,0.634,0.427,0.174,0.279
21901248,1610612745,Rockets,HOU,Houston,240:00,0.511,0.341,0.084,0.103,0.538,0.25,0.213,0.365
21901248,1610612749,Bucks,MIL,Milwaukee,240:00,0.538,0.25,0.213,0.327,0.511,0.341,0.084,0.155
21901249,1610612742,Mavericks,DAL,Dallas,240:00,0.441,0.398,0.075,0.175,0.516,0.247,0.102,0.196
21901249,1610612756,Suns,PHX,Phoenix,240:00,0.516,0.247,0.102,0.118,0.441,0.398,0.075,0.246
21901250,1610612748,Heat,MIA,Miami,240:00,0.506,0.184,0.148,0.157,0.552,0.537,0.208,0.154
21901250,1610612761,Raptors,TOR,Toronto,240:00,0.552,0.537,0.208,0.077,0.506,0.184,0.148,0.235
21901251,1610612743,Nuggets,DEN,Denver,265:00,0.523,0.448,0.12,0.18,0.511,0.356,0.147,0.25
21901251,1610612760,Thunder,OKC,Oklahoma City,265:00,0.511,0.356,0.147,0.154,0.523,0.448,0.12,0.26
21901252,1610612754,Pacers,IND,Indiana,240:00,0.516,0.174,0.1,0.188,0.495,0.138,0.125,0.263
21901252,1610612764,Wizards,WAS,Washington,240:00,0.495,0.138,0.125,0.158,0.516,0.174,0.1,0.208
21901253,1610612740,Pelicans,NOP,New Orleans,240:00,0.518,0.476,0.141,0.154,0.462,0.161,0.133,0.193
21901253,1610612763,Grizzlies,MEM,Memphis,240:00,0.462,0.161,0.133,0.14,0.518,0.476,0.141,0.212
21901254,1610612755,76ers,PHI,Philadelphia,240:00,0.609,0.345,0.124,0.182,0.559,0.312,0.131,0.362
21901254,1610612759,Spurs,SAS,San Antonio,240:00,0.559,0.312,0.131,0.277,0.609,0.345,0.124,0.25
21901255,1610612747,Lakers,LAL,Los Angeles,240:00,0.555,0.378,0.133,0.091,0.518,0.301,0.194,0.234
